DAY_ID,ACCOUNT_DIM_ID,DAILY_BALANCE_AMT,EFF_DT,END_DT
2023-09-09,4827,6810.61,2018-02-15,
2023-01-14,14114,9517.06,2015-04-18,
2023-04-27,55662,3749.63,2020-03-20,
2023-09-13,57610,4550.61,2021-03-18,
2023-06-23,47680,189.93,2021-03-07,
2023-05-08,13335,1606.25,2017-11-04,
2023-02-16,76866,1271.98,2021-03-06,
2023-01-08,67733,683.27,2019-03-25,
2023-09-11,61048,1775.6,2022-02-17,
2023-07-23,34606,7087.98,2021-10-15,
2023-02-19,13678,1526.94,2019-05-30,
2023-03-05,62165,2481.62,2021-12-07,
2023-05-04,74944,6366.31,2018-06-19,
2023-12-29,35141,4655.71,2018-05-01,
2023-04-13,88895,8690.72,2022-06-23,
2023-03-01,81029,6274.98,2016-11-09,
2023-01-15,68431,3828.79,2017-11-19,
2023-06-09,11220,9180.57,2015-05-31,
2023-06-01,73515,4312.16,2021-05-19,
2023-03-03,77616,1937.6,2016-09-21,
2023-08-31,79627,4173.35,2021-01-01,
2023-12-11,56527,2861.06,2018-05-06,
2023-11-17,39653,9950.14,2019-07-04,
2023-02-11,53611,648.93,2016-05-29,
2023-05-13,55139,9397.51,2016-03-19,
2023-08-06,9164,6218.8,2016-05-31,
2023-03-07,10384,7820.71,2019-12-31,
2023-09-10,67482,2803.56,2021-06-08,
2023-12-29,13051,4258.22,2015-11-07,
2023-09-27,22412,9945.21,2020-10-28,
2023-07-03,84726,3570.02,2021-03-15,
2023-07-27,47381,3338.86,2016-01-30,
2023-06-01,25658,7084.31,2015-03-21,
2023-11-22,44883,7827.54,2021-03-03,
2023-02-06,13284,6028.26,2015-03-05,
2023-05-25,40613,8484.26,2021-06-23,
2023-10-09,60534,7269.05,2015-06-20,
2023-08-05,85836,7309.94,2021-10-05,
2023-01-04,44913,9431.21,2020-02-01,
2023-06-24,11278,1869.46,2022-07-22,
2023-01-13,94432,8209.05,2015-10-27,
2023-03-15,75683,9989.8,2022-06-23,
2023-02-12,58731,9377.56,2022-02-07,
2023-09-11,12506,2365.65,2021-12-04,
2023-10-01,7048,1779.7,2018-04-21,
2023-06-01,64431,3216.22,2015-05-26,
2023-04-13,48578,9565.81,2016-11-17,
2023-07-19,39849,3780.42,2020-11-03,2023-05-03
2023-06-26,63365,9082.93,2017-07-15,
2023-02-20,47022,8754.12,2018-12-02,2023-10-13
2023-07-25,93877,6582.37,2015-06-13,
2023-01-08,88986,9089.08,2020-03-04,
2023-05-19,64759,8667.2,2015-10-06,
2023-02-11,17587,3182.51,2020-08-11,
2023-06-03,12177,2496.52,2020-08-12,
2023-01-04,70376,6387.71,2017-11-22,
2023-10-09,66009,7321.15,2015-06-11,2023-07-26
2023-03-26,66859,7784.37,2017-06-19,
2023-04-04,35278,7518.05,2020-05-05,
2023-01-29,42863,9016.47,2022-10-13,2023-05-21
2023-08-04,64104,9981.55,2016-03-21,
2023-08-29,20166,2606.07,2018-11-19,
2023-06-20,12629,8442.44,2016-04-09,
2023-08-15,93544,8335.67,2016-06-21,
2023-03-23,46266,6779.7,2016-03-14,
2023-09-27,26683,6924.65,2015-12-14,
2023-10-28,69414,2001.23,2018-01-17,
2023-06-10,44429,3839.9,2022-01-11,
2023-11-30,44846,4945.6,2015-12-23,2023-10-22
2023-01-06,71084,7752.95,2022-04-18,
2023-01-30,47009,5967.77,2017-10-18,
2023-02-28,79621,5351.23,2018-03-11,
2023-09-27,18575,4763.44,2015-05-12,
2023-04-09,40452,5239.35,2019-09-17,
2023-11-14,80629,141.37,2020-01-02,
2023-09-04,41820,1776.85,2020-04-23,
2023-06-19,41638,8820.66,2018-09-23,
2023-11-02,71167,2295.4,2018-03-22,
2023-04-06,2844,8259.52,2021-09-30,
2023-02-18,85850,1810.02,2017-06-12,
2023-09-16,73591,5992.93,2017-01-21,2023-04-30
2023-03-01,80537,8835.73,2015-05-19,
2023-09-28,63056,5031.96,2020-07-07,
2023-10-12,25091,7708.36,2017-11-19,
2023-05-13,38386,1141.92,2016-01-22,
2023-06-07,97278,1977.29,2017-02-18,
2023-01-21,44612,6548.7,2020-05-27,
2023-07-24,5514,461.04,2021-06-25,2023-05-25
2023-07-21,71895,3920.45,2020-10-28,
2023-04-22,39619,9848.29,2020-07-21,
2023-08-03,655,8805.25,2016-10-06,
2023-03-12,74569,112.91,2016-11-22,
2023-12-03,5375,7123.9,2017-11-30,2023-06-28
2023-03-16,64615,1625.13,2021-03-21,
2023-08-08,64376,9792.96,2017-02-03,
2023-07-22,18284,4682.01,2022-01-08,
2023-06-11,6048,9544.16,2017-12-12,2023-02-02
2023-10-29,80192,1055.43,2016-11-01,
2023-07-15,2508,8316.68,2019-06-29,
2023-11-17,76110,156.9,2016-06-23,
2023-04-22,24760,9512.65,2017-08-05,
2023-09-20,80530,7096.51,2015-04-10,
2023-10-13,19674,3235.59,2015-10-17,
2023-02-01,50613,5693.4,2015-02-27,
2023-07-15,6383,9815.89,2016-12-17,2023-04-26
2023-02-03,92859,567.12,2016-12-14,
2023-04-03,93838,3327.59,2021-11-30,
2023-06-18,48321,4811.48,2019-06-12,
2023-12-26,42796,4073.15,2019-10-13,2023-02-05
2023-06-09,2605,2531.0,2020-03-18,
2023-03-05,20682,2503.38,2019-01-08,
2023-03-07,93155,320.72,2016-05-20,2023-10-06
2023-01-27,60754,8670.57,2015-04-21,2023-12-03
2023-09-24,70981,9646.46,2018-10-10,
2023-06-13,37822,8788.33,2017-09-15,
2023-01-09,1392,8408.9,2016-09-11,
2023-01-23,39100,1846.74,2018-06-27,
2023-11-30,74643,2659.92,2022-10-05,
2023-11-16,57689,3606.41,2022-07-01,
2023-11-28,7198,7806.76,2020-11-09,
2023-04-12,57351,1958.2,2018-09-17,
2023-11-28,95712,5108.42,2018-08-21,
2023-10-07,284,2582.94,2021-06-12,
2023-02-05,12613,4244.65,2016-08-25,
2023-06-06,16250,7998.49,2015-10-13,
2023-07-23,31478,612.5,2018-06-27,2023-10-08
2023-12-27,82112,4345.23,2016-12-04,
2023-10-17,25134,6759.26,2021-01-31,
2023-03-29,95041,2260.68,2021-05-06,
2023-11-24,56567,5272.99,2021-10-26,
2023-08-02,66403,6638.92,2022-04-02,
2023-04-17,8103,4592.38,2018-12-13,
2023-02-27,40878,7022.91,2017-10-14,
2023-10-13,25971,3513.84,2022-07-10,
