DAY_ID,ACCOUNT_DIM_ID,CREDIT_CARD_SPEND_AMT,CARD_TYPE,EFF_DT,END_DT
2023-07-16,58962,3807.05,Visa,2019-12-08,
2023-06-01,21009,2988.61,MasterCard,2016-01-23,
2023-05-22,16144,630.25,MasterCard,2022-04-17,
2023-03-26,33626,3734.14,Amex,2016-05-18,2023-11-19
2023-06-28,3920,85.86,MasterCard,2016-12-24,
2023-06-08,42011,2064.18,MasterCard,2016-12-12,2023-04-13
2023-04-17,49935,1818.12,Amex,2015-01-23,
2023-12-13,20279,358.83,Visa,2015-04-17,
2023-02-01,69827,1800.69,MasterCard,2020-11-08,
2023-12-02,17360,3312.63,Amex,2018-03-19,
2023-10-31,98429,3170.15,Visa,2018-07-09,
2023-12-05,32363,3266.51,MasterCard,2019-06-08,2023-04-26
2023-08-13,46765,3613.65,MasterCard,2021-04-24,
2023-03-26,34707,1101.27,MasterCard,2015-05-08,
2023-11-13,38526,3639.32,MasterCard,2022-08-14,
2023-10-16,83742,4262.82,Visa,2020-02-17,2023-08-12
2023-09-11,84606,416.06,MasterCard,2019-10-11,
2023-02-12,64562,1929.6,Amex,2016-12-03,
2023-04-04,91343,4049.96,MasterCard,2021-04-23,
2023-01-18,15217,4813.29,Visa,2017-11-13,
2023-09-06,59924,2704.89,Visa,2017-05-01,
2023-09-24,69182,2238.71,MasterCard,2019-07-15,
2023-04-25,83270,4734.28,MasterCard,2017-03-31,
2023-05-28,60126,3035.58,MasterCard,2018-08-25,
2023-03-12,74832,1645.09,Visa,2017-09-17,
2023-10-22,32631,1284.84,MasterCard,2022-09-19,
2023-10-07,51011,1817.76,MasterCard,2021-11-24,
2023-03-29,97877,3917.31,Amex,2015-05-14,
2023-11-22,28769,3765.4,MasterCard,2017-01-16,
2023-08-31,64223,976.89,MasterCard,2021-07-14,2023-03-27
2023-02-23,76856,275.34,Visa,2019-02-21,
2023-09-14,85398,399.78,Amex,2022-05-17,
2023-12-24,87523,2252.18,Amex,2022-09-10,
2023-01-02,49500,657.01,Visa,2019-07-27,
2023-06-14,93221,753.21,Amex,2019-10-12,
2023-03-30,70829,3750.71,Amex,2018-05-18,
2023-04-30,42890,1796.02,Amex,2022-06-17,
2023-03-13,69421,522.79,Amex,2017-06-12,
2023-04-22,26291,4249.32,MasterCard,2021-03-16,
2023-09-17,30403,3191.61,Visa,2018-05-30,
2023-10-26,23244,211.81,MasterCard,2016-11-28,
2023-02-05,65467,3371.34,MasterCard,2017-11-11,
2023-08-24,44134,236.73,Visa,2021-04-20,
2023-08-26,17077,2312.12,Amex,2017-05-03,
2023-01-16,83035,2222.07,Amex,2021-05-10,
2023-10-05,51440,2705.33,MasterCard,2022-08-07,
2023-06-11,95859,588.48,Visa,2021-06-20,
2023-05-20,60330,2170.39,Visa,2018-12-15,
2023-10-27,24364,3489.88,Visa,2022-01-31,
2023-03-23,76461,4243.44,MasterCard,2016-08-07,
2023-04-11,4160,3864.09,Visa,2022-05-03,2023-12-08
2023-09-10,26576,4840.22,Amex,2021-02-25,
2023-12-24,21823,3005.0,Amex,2021-01-04,
2023-03-02,55031,4974.87,Amex,2019-06-19,
2023-01-13,39803,678.32,MasterCard,2017-10-12,
2023-05-21,68420,1098.43,Visa,2022-07-19,
2023-06-23,97346,2446.06,MasterCard,2016-11-08,
2023-07-10,52493,4327.29,MasterCard,2019-08-26,
2023-06-12,65892,760.19,Visa,2022-12-20,
2023-03-30,291,745.32,MasterCard,2018-09-04,
2023-09-01,80216,4959.44,Amex,2020-01-26,
2023-03-14,69731,80.26,Visa,2022-07-23,
2023-02-14,62756,4931.56,Amex,2018-06-30,
2023-12-05,14364,1138.89,Visa,2015-04-11,
2023-01-05,55020,1977.73,MasterCard,2017-08-04,
2023-08-11,708,4960.42,MasterCard,2017-05-18,
2023-04-15,96046,2998.46,Amex,2017-10-07,
