DAY_ID,CUSTOMER_DIM_ID,POLICY_ID,POLICY_BALANCE_AMT,POLICY_STATUS,INSURANCE_POLICY_CASE_SIZE,EFF_DT,END_DT
2023-04-10,12732,POL_26,21904.01,Active,31648.54,2015-03-23,
2023-08-20,39853,POL_16,35612.67,Expired,39110.97,2019-08-01,
2023-08-04,44179,POL_88,41357.09,Expired,46078.88,2015-12-22,
2023-01-24,25322,POL_66,14851.01,Active,13742.62,2021-03-30,
2023-12-15,682,POL_53,47788.35,Active,26592.45,2022-02-13,
2023-02-24,16730,POL_66,29024.16,Active,20799.73,2015-01-15,
2023-04-06,16959,POL_100,41446.76,Expired,9878.01,2020-05-15,2023-02-23
2023-06-03,23588,POL_73,48737.88,Active,23711.55,2018-11-14,
2023-03-24,36701,POL_59,6418.09,Expired,42274.79,2022-04-21,
2023-08-31,24626,POL_44,29310.06,Active,49244.69,2020-03-13,2023-09-28
2023-12-08,24081,POL_18,47815.09,Expired,15478.92,2021-09-15,
2023-07-12,7296,POL_1,43050.45,Expired,44891.89,2021-03-05,
2023-10-03,32435,POL_31,44515.1,Expired,18751.48,2016-10-28,
2023-11-13,13811,POL_7,30691.12,Active,18428.49,2021-05-13,
2023-06-28,47034,POL_56,21746.72,Active,6161.76,2016-05-01,
2023-07-11,6573,POL_33,21480.76,Active,25569.36,2022-12-02,
2023-10-15,3376,POL_26,40085.94,Active,22491.74,2017-03-07,
2023-03-28,39902,POL_38,26403.24,Expired,48062.38,2016-12-01,
2023-03-17,40705,POL_40,35392.67,Expired,13201.02,2015-12-11,
2023-11-17,29241,POL_29,5676.12,Active,30433.19,2019-01-20,
2023-04-20,10186,POL_33,16294.07,Active,24316.3,2022-10-01,2023-11-17
2023-02-07,28614,POL_1,33773.62,Expired,13168.23,2017-08-12,
2023-02-07,26762,POL_50,34527.77,Active,38103.49,2018-02-11,
2023-05-30,30942,POL_87,17635.63,Active,25358.25,2018-11-28,
2023-10-31,2499,POL_3,19266.67,Expired,10388.05,2020-11-11,
2023-07-20,42401,POL_84,7993.46,Expired,45825.64,2019-09-28,
2023-07-08,45448,POL_63,44112.77,Active,38437.98,2017-07-23,
2023-07-06,857,POL_95,46950.72,Expired,48980.3,2016-08-12,
2023-05-16,38066,POL_88,26686.85,Active,6840.49,2016-06-29,
2023-06-17,19433,POL_65,19439.05,Active,17220.03,2022-02-28,2023-07-20
2023-12-04,15166,POL_86,48417.45,Active,44761.86,2016-05-10,
2023-02-12,37263,POL_85,47813.67,Expired,39671.47,2021-11-24,
2023-10-05,1205,POL_35,31034.57,Active,23167.2,2015-11-27,2023-09-19
2023-06-12,2309,POL_45,7904.6,Active,26336.87,2018-07-23,
2023-06-08,7144,POL_54,24214.37,Active,37691.38,2020-08-25,
2023-05-12,35045,POL_2,17898.45,Expired,8798.32,2018-07-19,
2023-04-23,43729,POL_17,9301.22,Active,40904.97,2022-06-07,
2023-01-27,38523,POL_86,44201.74,Expired,17110.69,2015-05-28,
2023-05-25,24910,POL_54,20061.16,Expired,17125.97,2022-03-31,
2023-12-25,5252,POL_8,8165.04,Active,18628.41,2022-06-28,
2023-11-14,9995,POL_3,5274.18,Active,32438.9,2016-02-10,
2023-10-10,19694,POL_62,29605.12,Expired,43785.01,2015-03-04,
2023-02-05,44990,POL_97,27242.52,Active,20286.19,2016-12-14,
2023-12-28,26647,POL_83,32458.71,Expired,13356.28,2018-07-25,
2023-08-21,5812,POL_29,41634.51,Expired,46605.99,2020-10-31,
2023-10-18,17248,POL_75,40929.9,Expired,16849.36,2018-03-02,
2023-04-22,31492,POL_50,44997.06,Expired,8694.53,2021-10-26,
2023-01-28,21636,POL_85,23600.66,Active,29979.74,2018-03-04,2023-01-19
2023-01-22,45363,POL_57,47741.73,Active,34750.15,2020-12-10,
2023-02-05,22801,POL_43,39488.78,Active,25561.35,2019-02-04,
2023-10-10,6882,POL_53,35823.69,Expired,15378.46,2022-10-17,
