DAY_ID,ACCOUNT_DIM_ID,OVERDRAFT_SPEND_AMT,EFF_DT,END_DT
2023-10-09,92514,2479.05,2017-07-21,
2023-06-28,11674,1392.25,2018-07-09,
2023-01-01,35617,411.79,2019-07-13,
2023-08-17,53864,2657.0,2016-03-25,
2023-07-06,16856,2378.48,2020-02-11,
2023-09-16,6618,2180.38,2021-08-28,
2023-03-08,94594,2676.57,2017-10-06,
2023-09-30,11459,2024.96,2017-08-22,
2023-03-23,89430,757.71,2021-08-23,
2023-06-05,45568,1994.63,2022-08-02,
2023-07-29,42587,802.82,2016-05-10,
2023-02-06,57070,2910.81,2019-03-19,
2023-05-19,92759,1598.6,2022-02-08,
2023-08-07,59696,1122.86,2018-02-09,
2023-06-11,23598,1535.35,2016-08-26,
2023-03-20,80526,1313.93,2017-04-26,
2023-07-11,6256,412.58,2015-01-31,
2023-06-16,78861,431.83,2018-09-02,
2023-12-27,59910,296.04,2015-04-01,
2023-01-14,5394,2713.51,2021-03-29,
2023-07-06,84116,1498.55,2015-08-01,
2023-06-27,70237,1446.37,2021-11-01,
2023-07-19,41636,379.33,2017-04-26,
2023-09-05,8763,201.57,2018-08-05,2023-06-28
2023-11-13,7870,2091.51,2019-08-04,
2023-04-26,98591,1951.38,2018-09-19,2023-07-21
2023-03-19,92624,1596.58,2021-09-07,
2023-12-28,35940,2765.18,2016-08-26,
2023-05-14,75660,2866.74,2020-08-29,
2023-10-27,77539,1362.61,2018-08-25,
2023-10-06,94436,843.02,2018-11-04,2023-01-18
2023-04-25,59557,2136.17,2018-02-28,
2023-05-07,62720,427.5,2019-01-18,
2023-09-01,9156,907.49,2020-11-13,
2023-01-23,3266,1520.81,2018-02-12,
2023-05-24,4467,1086.56,2015-07-30,
2023-12-27,43987,2557.0,2017-07-22,
2023-09-07,68105,862.62,2016-06-15,
2023-09-30,39070,898.05,2018-01-13,
2023-02-20,78727,1090.36,2017-04-04,
2023-09-29,39371,1697.2,2020-08-22,
2023-10-18,54970,2334.0,2015-01-30,
2023-08-07,48506,674.48,2016-12-01,
2023-09-06,25330,1842.71,2019-11-14,
2023-08-29,67320,31.46,2018-11-20,
2023-09-10,99180,2758.74,2018-04-19,
2023-06-14,13975,1504.85,2020-08-14,
2023-05-29,13738,637.64,2018-07-29,
2023-12-08,87350,2665.99,2019-11-06,
2023-09-13,41529,2118.92,2019-02-23,
2023-12-28,7947,513.23,2015-11-07,
2023-10-05,79359,418.96,2017-12-15,
2023-06-09,36260,1823.92,2017-11-04,
2023-10-09,6962,661.68,2018-11-09,
2023-01-10,39873,2055.31,2020-09-27,
2023-01-31,14487,1064.34,2020-09-05,
2023-01-03,95100,1641.89,2016-02-19,
2023-09-11,83824,1557.76,2016-11-05,
2023-09-27,55380,1591.08,2021-05-08,
2023-10-29,24120,2376.41,2016-02-12,
2023-01-16,31667,2840.61,2021-01-24,
2023-10-31,76038,2067.28,2017-05-15,
2023-03-26,69815,51.55,2016-01-18,
2023-05-12,32162,2716.76,2020-11-08,
2023-04-10,17234,1725.3,2015-12-10,
2023-09-12,70296,159.22,2016-09-08,
2023-02-25,38264,789.99,2018-05-16,
2023-09-01,61357,124.63,2019-11-05,
2023-02-08,75269,2844.53,2018-08-23,
2023-01-28,71994,34.14,2016-05-09,
2023-06-09,30586,337.41,2018-02-03,
2023-12-23,74064,1225.67,2019-09-04,2023-04-12
2023-05-08,35380,559.14,2017-02-10,
2023-07-21,61877,856.5,2015-09-09,2023-09-19
2023-08-19,25422,288.39,2020-01-01,
2023-10-20,54340,463.57,2020-05-23,
2023-05-31,85660,496.37,2015-10-13,
2023-07-05,85325,1898.51,2021-08-12,
2023-02-05,19726,367.26,2022-10-21,
2023-10-19,8989,277.97,2017-07-04,
2023-10-26,22385,175.41,2016-12-02,
2023-10-12,75369,2074.77,2021-09-12,
2023-04-21,94195,2101.24,2022-10-24,
2023-04-06,39408,261.24,2017-02-08,
2023-02-12,79229,2463.57,2020-08-12,
2023-03-08,23686,180.98,2022-03-12,
2023-12-22,2832,2861.65,2017-07-11,2023-08-10
2023-10-13,84302,2893.76,2017-12-01,
2023-11-16,84033,1761.18,2015-07-01,
2023-03-08,54836,209.11,2017-04-13,
2023-03-31,63049,1429.38,2021-06-17,
2023-11-09,52769,483.59,2022-10-19,
2023-01-30,40020,1617.4,2022-01-04,2023-06-07
2023-08-18,84002,1964.15,2018-10-08,
2023-06-14,69262,2461.36,2017-10-18,
2023-02-27,96550,2923.53,2018-06-27,
2023-03-12,47830,1965.35,2019-10-03,
2023-04-05,31147,2719.04,2020-03-06,
2023-10-02,19003,180.61,2018-01-26,
2023-12-22,1578,1218.9,2022-03-24,
2023-09-10,39422,2805.75,2021-05-26,
2023-04-10,64162,791.2,2019-08-22,
2023-09-07,41345,1302.86,2016-09-22,2023-10-13
2023-11-03,17038,1910.24,2022-05-29,
2023-03-13,96245,1371.33,2019-04-10,
2023-11-30,42348,2175.5,2022-04-18,
2023-06-26,34781,2043.2,2020-02-05,
2023-10-01,90656,218.48,2018-09-09,
2023-07-18,84711,1925.94,2020-04-13,
2023-04-22,6582,435.97,2016-01-24,
2023-01-21,95669,312.17,2017-08-17,
2023-11-26,2807,1249.8,2018-09-10,2023-10-15
2023-07-18,32726,791.56,2021-12-28,
2023-04-17,47164,2326.42,2018-01-09,
